id,order_date,user_id,order_id,meal_id,order_quantity
1,6/1/2018,0,0,4,3
2,6/1/2018,0,0,14,2
3,6/1/2018,0,0,15,1
4,6/1/2018,0,0,17,1
5,6/1/2018,1,1,16,2
6,6/1/2018,1,1,17,1
7,6/1/2018,2,2,7,3
8,6/1/2018,2,2,12,3
9,6/1/2018,3,3,15,1
10,6/1/2018,4,4,5,3
11,6/1/2018,5,5,6,1
12,6/1/2018,6,6,5,1
13,6/1/2018,6,6,15,2
14,6/1/2018,6,6,17,2
15,6/1/2018,7,7,4,1
16,6/1/2018,7,7,11,2
17,6/1/2018,7,7,15,1
18,6/1/2018,8,8,12,1
19,6/1/2018,9,9,14,1
20,6/1/2018,9,9,15,3
21,6/1/2018,10,10,7,3
22,6/1/2018,11,11,0,1
23,6/1/2018,11,11,6,3
24,6/1/2018,11,11,8,1
25,6/1/2018,11,11,10,2
26,6/1/2018,12,12,8,3
27,6/1/2018,13,13,0,3
28,6/1/2018,13,13,3,3
29,6/1/2018,13,13,14,1
30,6/1/2018,13,13,18,1
31,6/2/2018,14,14,4,1
32,6/2/2018,14,14,7,2
33,6/2/2018,14,14,15,3
34,6/2/2018,15,15,9,3
35,6/2/2018,15,15,12,3
36,6/2/2018,15,15,13,1
37,6/2/2018,15,15,15,2
38,6/2/2018,16,16,1,2
39,6/2/2018,17,17,2,1
40,6/2/2018,17,17,6,3
41,6/2/2018,17,17,9,3
42,6/2/2018,17,17,14,1
43,6/2/2018,18,18,18,1
44,6/2/2018,18,19,0,1
45,6/2/2018,18,19,2,3
46,6/2/2018,18,19,7,2
47,6/2/2018,18,19,17,2
48,6/2/2018,19,20,13,1
49,6/3/2018,20,21,0,1
50,6/3/2018,20,21,5,2
51,6/3/2018,21,22,13,3
52,6/3/2018,22,23,12,1
53,6/3/2018,22,23,15,1
54,6/3/2018,23,24,11,2
55,6/3/2018,23,24,13,3
56,6/3/2018,24,25,0,3
57,6/3/2018,24,25,9,2
58,6/3/2018,24,25,13,2
59,6/3/2018,24,25,17,3
60,6/3/2018,25,26,8,3
61,6/3/2018,25,26,15,2
62,6/3/2018,26,27,6,1
63,6/3/2018,26,27,13,3
64,6/3/2018,26,27,14,3
65,6/3/2018,27,28,1,2
66,6/3/2018,27,28,8,1
67,6/3/2018,27,28,11,3
68,6/3/2018,27,28,17,3
69,6/3/2018,28,29,0,2
70,6/3/2018,28,29,1,3
71,6/3/2018,28,29,3,1
72,6/3/2018,28,29,9,1
73,6/3/2018,29,30,11,3
74,6/3/2018,29,30,14,3
75,6/3/2018,29,30,15,2
76,6/4/2018,0,31,0,2
77,6/4/2018,0,31,2,1
78,6/4/2018,0,31,5,1
79,6/4/2018,0,31,18,1
80,6/4/2018,30,32,1,2
81,6/4/2018,30,32,6,1
82,6/4/2018,30,32,9,1
83,6/4/2018,30,32,16,3
84,6/4/2018,31,33,11,3
85,6/4/2018,32,34,4,2
86,6/4/2018,32,34,11,2
87,6/4/2018,32,34,16,2
88,6/4/2018,33,35,5,2
89,6/4/2018,33,35,14,2
90,6/4/2018,33,35,15,1
91,6/4/2018,34,36,14,2
92,6/4/2018,35,37,0,3
93,6/4/2018,35,37,16,3
94,6/4/2018,36,38,2,3
95,6/5/2018,3,39,10,1
96,6/5/2018,3,39,13,2
97,6/5/2018,3,39,18,3
98,6/5/2018,28,40,7,2
99,6/5/2018,28,40,10,3
100,6/5/2018,28,40,17,1
101,6/5/2018,32,41,18,2
102,6/5/2018,33,42,2,3
103,6/5/2018,33,42,7,2
104,6/5/2018,33,42,16,3
105,6/5/2018,34,43,3,2
106,6/5/2018,34,43,16,3
107,6/5/2018,34,43,17,3
108,6/5/2018,34,43,18,3
109,6/5/2018,37,44,0,2
110,6/5/2018,37,44,3,1
111,6/5/2018,38,45,6,1
112,6/5/2018,38,45,7,1
113,6/5/2018,38,45,11,3
114,6/5/2018,38,45,12,1
115,6/5/2018,39,46,9,1
116,6/5/2018,40,47,0,1
117,6/5/2018,40,47,16,1
118,6/5/2018,40,47,17,2
119,6/5/2018,41,48,14,2
120,6/5/2018,42,49,9,2
121,6/5/2018,42,49,11,2
122,6/5/2018,42,49,13,1
123,6/5/2018,42,49,17,3
124,6/6/2018,5,50,4,2
125,6/6/2018,5,50,14,3
126,6/6/2018,5,50,16,2
127,6/6/2018,5,50,17,2
128,6/6/2018,5,51,4,2
129,6/6/2018,5,51,13,1
130,6/6/2018,5,51,18,2
131,6/6/2018,17,52,4,2
132,6/6/2018,22,53,4,2
133,6/6/2018,22,53,8,1
134,6/6/2018,31,54,17,3
135,6/6/2018,43,55,7,2
136,6/6/2018,43,55,12,2
137,6/6/2018,43,55,18,2
138,6/6/2018,44,56,11,2
139,6/6/2018,44,56,14,2
140,6/6/2018,44,56,16,2
141,6/6/2018,44,56,18,1
142,6/6/2018,45,57,2,2
143,6/6/2018,45,57,3,3
144,6/6/2018,45,57,11,3
145,6/6/2018,45,57,15,1
146,6/6/2018,46,58,5,2
147,6/6/2018,46,58,12,1
148,6/7/2018,23,59,0,1
149,6/7/2018,23,59,11,2
150,6/7/2018,23,59,14,1
151,6/7/2018,47,60,0,3
152,6/7/2018,47,60,3,3
153,6/7/2018,47,60,7,1
154,6/7/2018,47,60,9,3
155,6/7/2018,47,61,1,1
156,6/7/2018,47,61,10,2
157,6/7/2018,47,61,13,1
158,6/7/2018,47,61,14,2
159,6/7/2018,48,62,18,1
160,6/7/2018,49,63,4,1
161,6/7/2018,50,64,0,3
162,6/7/2018,50,64,3,3
163,6/7/2018,50,64,8,3
164,6/7/2018,50,64,18,1
165,6/7/2018,51,65,15,2
166,6/7/2018,52,66,15,3
167,6/7/2018,53,67,6,1
168,6/7/2018,53,67,9,2
169,6/8/2018,27,68,8,3
170,6/8/2018,27,68,11,1
171,6/8/2018,27,68,18,3
172,6/8/2018,34,69,12,1
173,6/8/2018,34,69,14,2
174,6/8/2018,54,70,2,2
175,6/8/2018,54,70,4,3
176,6/8/2018,54,70,15,1
177,6/8/2018,54,70,16,1
178,6/8/2018,55,71,0,2
179,6/8/2018,55,71,13,3
180,6/8/2018,55,71,17,1
181,6/8/2018,56,72,5,3
182,6/8/2018,56,72,11,2
183,6/8/2018,56,72,14,3
184,6/8/2018,57,73,9,2
185,6/8/2018,57,73,17,3
